From_ID,Origin,To_ID,Destination,Time
KJ28,Subang Jaya,KJ5,Setiawangsa,48
KJ29,SS 15,KJ5,Setiawangsa,52
KJ30,SS 18,KJ5,Setiawangsa,54
KJ31,USJ 7 (KJL),KJ5,Setiawangsa,57
KJ32,Taipan,KJ5,Setiawangsa,58
KJ33,Wawasan,KJ5,Setiawangsa,61
KJ34,USJ 21,KJ5,Setiawangsa,63
KJ35,Alam Megah,KJ5,Setiawangsa,66
KJ36,Subang Alam,KJ5,Setiawangsa,69
KJ37,Putra Heights (KJL),KJ5,Setiawangsa,73
KG4,Sungai Buloh,KJ5,Setiawangsa,51
KG5,Kampung Selamat,KJ5,Setiawangsa,48
KG5A,Kwasa Damansara,KJ5,Setiawangsa,43
KG6,Kwasa Sentral,KJ5,Setiawangsa,41
KG7,Kota Damansara,KJ5,Setiawangsa,37
KG8,Surian,KJ5,Setiawangsa,35
KG9,Mutiara Damansara,KJ5,Setiawangsa,33
KG10,Bandar Utama,KJ5,Setiawangsa,31
KG12,TTDI,KJ5,Setiawangsa,27
KG12A,Phileo Damansara,KJ5,Setiawangsa,23
KG13,Pusat Bandar Damansara,KJ5,Setiawangsa,52
KG14,Semantan,KJ5,Setiawangsa,49
KG15,Muzium Negara,KJ5,Setiawangsa,44
KG16,Pasar Seni (SBK),KJ5,Setiawangsa,42
KG17,Merdeka,KJ5,Setiawangsa,38
KG18A,Bukit Bintang,KJ5,Setiawangsa,36
KG20,Tun Razak Exchange (TRX),KJ5,Setiawangsa,34
KG21,Cochrane,KJ5,Setiawangsa,32
KG22,Maluri (SBK),KJ5,Setiawangsa,28
KG23,Taman Pertama,KJ5,Setiawangsa,24
KG24,Taman Midah,KJ5,Setiawangsa,53
KG25,Taman Mutiara,KJ5,Setiawangsa,50
KG26,Taman Connaught,KJ5,Setiawangsa,45
KG27,Taman Suntex,KJ5,Setiawangsa,43
KG28,Sri Raya,KJ5,Setiawangsa,39
KG29,Bandar Tun Hussein Onn,KJ5,Setiawangsa,37
KG30,Batu 11 Cheras,KJ5,Setiawangsa,35
KG31,Bukit Dukung,KJ5,Setiawangsa,33
KG33,Sungai Jernih,KJ5,Setiawangsa,29
KG34,Stadium Kajang,KJ5,Setiawangsa,25
KG35,Kajang,KJ5,Setiawangsa,54
KJ1,Gombak,KJ6,Jelatek,17
KJ2,Taman Melati,KJ6,Jelatek,14
KJ3,Wangsa Maju,KJ6,Jelatek,10
KJ4,Sri Rampai,KJ6,Jelatek,8
KJ5,Setiawangsa,KJ6,Jelatek,2
KJ6,Jelatek,KJ6,Jelatek,0
KJ7,Dato' Keramat,KJ6,Jelatek,1
KJ8,Damai,KJ6,Jelatek,2
KJ9,Ampang Park,KJ6,Jelatek,4
KJ10,KLCC,KJ6,Jelatek,5
KJ11,Kampung Baru,KJ6,Jelatek,7
KJ12,Dang Wangi,KJ6,Jelatek,9
KJ13,Masjid Jamek (KJL),KJ6,Jelatek,11
KJ14,Pasar Seni (KJL),KJ6,Jelatek,12
KJ15,KL Sentral (KJL),KJ6,Jelatek,15
KJ16,Bangsar,KJ6,Jelatek,17
KJ17,Abdullah Hukum,KJ6,Jelatek,20
KJ18,Kerinchi,KJ6,Jelatek,21
KJ19,Universiti,KJ6,Jelatek,23
KJ20,Taman Jaya,KJ6,Jelatek,27
KJ21,Asia Jaya,KJ6,Jelatek,29
KJ22,Taman Paramount,KJ6,Jelatek,32
KJ23,Taman Bahagia,KJ6,Jelatek,35
KJ24,Kelana Jaya,KJ6,Jelatek,37
KJ25,Lembah Subang,KJ6,Jelatek,40
KJ26,Ara Damansara,KJ6,Jelatek,42
KJ27,Glenmarie,KJ6,Jelatek,45
