From_ID,To_ID,Time,Fare
KG20,KJ10,24,2.6
KG21,KJ10,22,2.9
KG22,KJ10,18,2.9
KG23,KJ10,14,3.5
KG24,KJ10,43,3.7
KG25,KJ10,40,4.0
KG26,KJ10,35,4.3
KG27,KJ10,33,4.8
KG28,KJ10,29,4.8
KG29,KJ10,27,5.1
KG30,KJ10,25,5.2
KG31,KJ10,23,5.1
KG33,KJ10,19,5.6
KG34,KJ10,15,5.7
KG35,KJ10,44,5.4
KJ1,KJ11,24,3.3
KJ2,KJ11,21,3.0
KJ3,KJ11,17,2.6
KJ4,KJ11,15,2.6
KJ5,KJ11,9,2.1
KJ6,KJ11,7,1.8
KJ7,KJ11,6,1.8
KJ8,KJ11,5,1.8
KJ9,KJ11,3,1.6
KJ10,KJ11,2,1.1
KJ11,KJ11,0,0.0
KJ12,KJ11,2,1.1
KJ13,KJ11,4,1.4
KJ14,KJ11,5,1.7
KJ15,KJ11,8,1.9
KJ16,KJ11,10,2.2
KJ17,KJ11,13,2.5
KJ18,KJ11,14,2.6
KJ19,KJ11,16,2.8
KJ20,KJ11,20,3.0
KJ21,KJ11,22,3.1
KJ22,KJ11,25,3.4
KJ23,KJ11,28,3.2
KJ24,KJ11,30,3.4
KJ25,KJ11,33,3.6
KJ26,KJ11,35,3.7
KJ27,KJ11,38,3.3
KJ28,KJ11,39,3.5
KJ29,KJ11,43,3.7
KJ30,KJ11,45,3.8
KJ31,KJ11,48,3.3
KJ32,KJ11,49,3.4
KJ33,KJ11,52,3.5
KJ34,KJ11,54,3.6
KJ35,KJ11,57,3.8
KJ36,KJ11,60,3.9
KJ37,KJ11,64,4.0
KG4,KJ11,39,4.1
KG5,KJ11,36,4.7
KG5A,KJ11,31,4.4
KG6,KJ11,29,4.2
KG7,KJ11,25,4.4
KG8,KJ11,23,4.1
KG9,KJ11,21,4.2
KG10,KJ11,19,4.0
KG12,KJ11,15,3.6
KG12A,KJ11,11,3.7
KG13,KJ11,40,3.0
KG14,KJ11,37,2.7
KG15,KJ11,32,2.0
KG16,KJ11,30,1.7
KG17,KJ11,26,1.7
KG18A,KJ11,24,2.0
KG20,KJ11,22,2.3
KG21,KJ11,20,2.6
KG22,KJ11,16,2.6
KG23,KJ11,12,3.2
KG24,KJ11,41,3.4
KG25,KJ11,38,3.7
KG26,KJ11,33,4.1
KG27,KJ11,31,4.6
KG28,KJ11,27,4.5
KG29,KJ11,25,4.8
KG30,KJ11,23,4.9
KG31,KJ11,21,4.8
KG33,KJ11,17,5.3
KG34,KJ11,13,5.5
KG35,KJ11,42,5.1
KJ1,KJ12,26,3.1
KJ2,KJ12,23,3.2
KJ3,KJ12,19,2.8
KJ4,KJ12,17,2.6
KJ5,KJ12,11,2.3
KJ6,KJ12,9,2.1
KJ7,KJ12,8,1.9
KJ8,KJ12,7,1.8
KJ9,KJ12,5,1.6
KJ10,KJ12,4,1.4
KJ11,KJ12,2,1.1
KJ12,KJ12,0,0.0
KJ13,KJ12,2,1.2
KJ14,KJ12,3,1.4
KJ15,KJ12,6,1.8
KJ16,KJ12,8,1.9
KJ17,KJ12,11,2.2
KJ18,KJ12,12,2.4
KJ19,KJ12,14,2.6
KJ20,KJ12,18,2.8
KJ21,KJ12,20,2.9
KJ22,KJ12,23,3.2
KJ23,KJ12,26,3.1
KJ24,KJ12,28,3.2
KJ25,KJ12,31,3.4
KJ26,KJ12,33,3.6
KJ27,KJ12,36,3.8
KJ28,KJ12,37,3.4
KJ29,KJ12,41,3.6
KJ30,KJ12,43,3.7
KJ31,KJ12,46,3.2
KJ32,KJ12,47,3.3
KJ33,KJ12,50,3.4
KJ34,KJ12,52,3.5
KJ35,KJ12,55,3.7
KJ36,KJ12,58,3.8
KJ37,KJ12,62,4.0
KG4,KJ12,38,3.8
KG5,KJ12,35,4.4
KG5A,KJ12,30,4.1
KG6,KJ12,28,4.0
KG7,KJ12,24,4.1
KG8,KJ12,22,3.9
KG9,KJ12,20,4.0
KG10,KJ12,18,3.7
KG12,KJ12,14,3.4
KG12A,KJ12,10,3.4
KG13,KJ12,39,2.7
KG14,KJ12,36,2.4
KG15,KJ12,31,1.8
KG16,KJ12,29,1.4
KG17,KJ12,25,1.4
KG18A,KJ12,23,1.7
KG20,KJ12,21,2.1
KG21,KJ12,19,2.4
KG22,KJ12,15,2.4
KG23,KJ12,11,2.8
KG24,KJ12,40,3.2
KG25,KJ12,37,3.5
KG26,KJ12,32,3.8
KG27,KJ12,30,4.3
KG28,KJ12,26,4.2
KG29,KJ12,24,4.5
KG30,KJ12,22,4.7
KG31,KJ12,20,4.6
KG33,KJ12,16,5.1
KG34,KJ12,12,5.2
KG35,KJ12,41,4.8
KJ1,KJ13,28,3.2
KJ2,KJ13,25,3.4
KJ3,KJ13,21,3.0
KJ4,KJ13,19,2.8
KJ5,KJ13,13,2.6
KJ6,KJ13,11,2.4
KJ7,KJ13,10,2.2
KJ8,KJ13,9,2.0
KJ9,KJ13,7,1.8
KJ10,KJ13,6,1.7
KJ11,KJ13,4,1.4
KJ12,KJ13,2,1.2
KJ13,KJ13,0,0.0
KJ14,KJ13,1,1.1
KJ15,KJ13,4,1.5
KJ16,KJ13,6,1.8
KJ17,KJ13,9,2.0
KJ18,KJ13,10,2.1
KJ19,KJ13,12,2.3
KJ20,KJ13,16,2.8
KJ21,KJ13,18,2.7
KJ22,KJ13,21,3.0
KJ23,KJ13,24,3.3
KJ24,KJ13,26,3.4
KJ25,KJ13,29,3.3
KJ26,KJ13,31,3.4
KJ27,KJ13,34,3.6
KJ28,KJ13,35,3.3
KJ29,KJ13,39,3.4
KJ30,KJ13,41,3.5
KJ31,KJ13,44,3.8
KJ32,KJ13,45,3.2
KJ33,KJ13,48,3.3
KJ34,KJ13,50,3.4
KJ35,KJ13,53,3.6
KJ36,KJ13,56,3.7
KJ37,KJ13,60,3.8
KG4,KJ13,35,3.5
KG5,KJ13,32,4.1
KG5A,KJ13,27,3.8
KG6,KJ13,25,3.6
KG7,KJ13,21,3.8
KG8,KJ13,19,3.6
KG9,KJ13,17,3.7
KG10,KJ13,15,3.4
KG12,KJ13,11,3.1
KG12A,KJ13,7,3.1
KG13,KJ13,36,2.4
KG14,KJ13,33,2.1
KG15,KJ13,28,1.4
KG16,KJ13,26,1.1
KG17,KJ13,22,1.1
KG18A,KJ13,20,1.4
KG20,KJ13,18,1.9
KG21,KJ13,16,2.0
KG22,KJ13,12,2.1
KG23,KJ13,8,2.5
KG24,KJ13,37,2.7
KG25,KJ13,34,3.1
KG26,KJ13,29,3.5
KG27,KJ13,27,4.0
KG28,KJ13,23,3.9
KG29,KJ13,21,4.2
KG30,KJ13,19,4.4
KG31,KJ13,17,4.3
KG33,KJ13,13,4.8
KG34,KJ13,9,4.9
KG35,KJ13,38,4.5
KJ1,KJ14,29,3.4
KJ2,KJ14,26,3.2
KJ3,KJ14,22,3.2
KJ4,KJ14,20,3.0
KJ5,KJ14,14,2.8
KJ6,KJ14,12,2.6
KJ7,KJ14,11,2.5
KJ8,KJ14,10,2.3
KJ9,KJ14,8,2.0
