From_ID,Origin,To_ID,Destination,Fare
KG9,Mutiara Damansara,KJ5,Setiawangsa,5.3
KG10,Bandar Utama,KJ5,Setiawangsa,5.1
KG12,TTDI,KJ5,Setiawangsa,4.7
KG12A,Phileo Damansara,KJ5,Setiawangsa,4.8
KG13,Pusat Bandar Damansara,KJ5,Setiawangsa,4.1
KG14,Semantan,KJ5,Setiawangsa,3.9
KG15,Muzium Negara,KJ5,Setiawangsa,3.2
KG16,Pasar Seni (SBK),KJ5,Setiawangsa,2.8
KG17,Merdeka,KJ5,Setiawangsa,2.8
KG18A,Bukit Bintang,KJ5,Setiawangsa,3.2
KG20,Tun Razak Exchange (TRX),KJ5,Setiawangsa,3.6
KG21,Cochrane,KJ5,Setiawangsa,3.9
KG22,Maluri (SBK),KJ5,Setiawangsa,3.9
KG23,Taman Pertama,KJ5,Setiawangsa,4.3
KG24,Taman Midah,KJ5,Setiawangsa,4.6
KG25,Taman Mutiara,KJ5,Setiawangsa,4.8
KG26,Taman Connaught,KJ5,Setiawangsa,5.2
KG27,Taman Suntex,KJ5,Setiawangsa,5.7
KG28,Sri Raya,KJ5,Setiawangsa,5.6
KG29,Bandar Tun Hussein Onn,KJ5,Setiawangsa,5.9
KG30,Batu 11 Cheras,KJ5,Setiawangsa,6.1
KG31,Bukit Dukung,KJ5,Setiawangsa,6
KG33,Sungai Jernih,KJ5,Setiawangsa,6.5
KG34,Stadium Kajang,KJ5,Setiawangsa,6.6
KG35,Kajang,KJ5,Setiawangsa,6.2
KJ1,Gombak,KJ6,Jelatek,2.7
KJ2,Taman Melati,KJ6,Jelatek,2.4
KJ3,Wangsa Maju,KJ6,Jelatek,1.9
KJ4,Sri Rampai,KJ6,Jelatek,1.8
KJ5,Setiawangsa,KJ6,Jelatek,1.1
KJ6,Jelatek,KJ6,Jelatek,0
KJ7,Dato' Keramat,KJ6,Jelatek,1
KJ8,Damai,KJ6,Jelatek,1.2
KJ9,Ampang Park,KJ6,Jelatek,1.5
KJ10,KLCC,KJ6,Jelatek,1.7
KJ11,Kampung Baru,KJ6,Jelatek,1.8
KJ12,Dang Wangi,KJ6,Jelatek,2.1
KJ13,Masjid Jamek (KJL),KJ6,Jelatek,2.4
KJ14,Pasar Seni (KJL),KJ6,Jelatek,2.6
KJ15,KL Sentral (KJL),KJ6,Jelatek,2.6
KJ16,Bangsar,KJ6,Jelatek,2.8
KJ17,Abdullah Hukum,KJ6,Jelatek,3.1
KJ18,Kerinchi,KJ6,Jelatek,3.2
KJ19,Universiti,KJ6,Jelatek,3.4
KJ20,Taman Jaya,KJ6,Jelatek,3.3
KJ21,Asia Jaya,KJ6,Jelatek,3.4
KJ22,Taman Paramount,KJ6,Jelatek,3.7
KJ23,Taman Bahagia,KJ6,Jelatek,3.3
KJ24,Kelana Jaya,KJ6,Jelatek,3.4
KJ25,Lembah Subang,KJ6,Jelatek,3.6
KJ26,Ara Damansara,KJ6,Jelatek,3.7
KJ27,Glenmarie,KJ6,Jelatek,3.2
KJ28,Subang Jaya,KJ6,Jelatek,3.3
KJ29,SS 15,KJ6,Jelatek,3.4
KJ30,SS 18,KJ6,Jelatek,3.5
KJ31,USJ 7 (KJL),KJ6,Jelatek,3.7
KJ32,Taipan,KJ6,Jelatek,3.8
KJ33,Wawasan,KJ6,Jelatek,3.9
KJ34,USJ 21,KJ6,Jelatek,4
KJ35,Alam Megah,KJ6,Jelatek,4.2
KJ36,Subang Alam,KJ6,Jelatek,4.3
KJ37,Putra Heights (KJL),KJ6,Jelatek,4.5
KG4,Sungai Buloh,KJ6,Jelatek,5
KG5,Kampung Selamat,KJ6,Jelatek,5.6
KG5A,Kwasa Damansara,KJ6,Jelatek,5.3
KG6,Kwasa Sentral,KJ6,Jelatek,5.1
KG7,Kota Damansara,KJ6,Jelatek,5.3
KG8,Surian,KJ6,Jelatek,5
KG9,Mutiara Damansara,KJ6,Jelatek,5.1
KG10,Bandar Utama,KJ6,Jelatek,4.8
KG12,TTDI,KJ6,Jelatek,4.5
KG12A,Phileo Damansara,KJ6,Jelatek,4.6
KG13,Pusat Bandar Damansara,KJ6,Jelatek,3.9
KG14,Semantan,KJ6,Jelatek,3.7
KG15,Muzium Negara,KJ6,Jelatek,3
KG16,Pasar Seni (SBK),KJ6,Jelatek,2.6
KG17,Merdeka,KJ6,Jelatek,2.6
KG18A,Bukit Bintang,KJ6,Jelatek,2.9
KG20,Tun Razak Exchange (TRX),KJ6,Jelatek,3.4
KG21,Cochrane,KJ6,Jelatek,3.6
KG22,Maluri (SBK),KJ6,Jelatek,3.7
KG23,Taman Pertama,KJ6,Jelatek,4.1
KG24,Taman Midah,KJ6,Jelatek,4.3
KG25,Taman Mutiara,KJ6,Jelatek,4.6
KG26,Taman Connaught,KJ6,Jelatek,5
KG27,Taman Suntex,KJ6,Jelatek,5.5
KG28,Sri Raya,KJ6,Jelatek,5.4
KG29,Bandar Tun Hussein Onn,KJ6,Jelatek,5.7
KG30,Batu 11 Cheras,KJ6,Jelatek,5.9
KG31,Bukit Dukung,KJ6,Jelatek,5.8
KG33,Sungai Jernih,KJ6,Jelatek,6.3
KG34,Stadium Kajang,KJ6,Jelatek,6.4
KG35,Kajang,KJ6,Jelatek,6
KJ1,Gombak,KJ7,Dato' Keramat,2.6
KJ2,Taman Melati,KJ7,Dato' Keramat,2.5
KJ3,Wangsa Maju,KJ7,Dato' Keramat,2
KJ4,Sri Rampai,KJ7,Dato' Keramat,1.8
KJ5,Setiawangsa,KJ7,Dato' Keramat,1.2
KJ6,Jelatek,KJ7,Dato' Keramat,1
KJ7,Dato' Keramat,KJ7,Dato' Keramat,0
KJ8,Damai,KJ7,Dato' Keramat,1.1
KJ9,Ampang Park,KJ7,Dato' Keramat,1.3
KJ10,KLCC,KJ7,Dato' Keramat,1.6
KJ11,Kampung Baru,KJ7,Dato' Keramat,1.8
KJ12,Dang Wangi,KJ7,Dato' Keramat,1.9
KJ13,Masjid Jamek (KJL),KJ7,Dato' Keramat,2.2
KJ14,Pasar Seni (KJL),KJ7,Dato' Keramat,2.5
KJ15,KL Sentral (KJL),KJ7,Dato' Keramat,2.8
KJ16,Bangsar,KJ7,Dato' Keramat,2.7
